;5 m/s;;6 m/s;;7 m/s;;8 m/s;;9 m/s;2 Ohm;;2,5 Ohm;;3,33 Ohm;;4 Ohm;;5 Ohm;;6,66 Ohm;;10 Ohm;;20 Ohm;
Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm]
1,00E-02;1,34E+00;1,00E-02;1,94E+00;1,00E-02;2,63E+00;1,00E-02;3,44E+00;1,00E-02;4,36E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
1,00E+01;1,44E+00;1,00E+01;2,05E+00;1,00E+01;2,77E+00;1,00E+01;3,59E+00;1,00E+01;4,53E+00;9,39E+00;1,54E+00;9,69E+00;1,52E+00;1,03E+01;1,52E+00;1,13E+01;1,52E+00;1,21E+01;1,54E+00;1,37E+01;1,53E+00;1,92E+01;1,60E+00;2,96E+01;1,65E+00
2,00E+01;1,51E+00;2,00E+01;2,14E+00;2,00E+01;2,88E+00;2,00E+01;3,73E+00;2,00E+01;4,68E+00;1,29E+01;2,14E+00;1,36E+01;2,14E+00;1,53E+01;2,17E+00;1,68E+01;2,24E+00;1,83E+01;2,27E+00;2,19E+01;2,27E+00;3,19E+01;2,35E+00;4,92E+01;2,44E+00
3,00E+01;1,57E+00;3,00E+01;2,22E+00;3,00E+01;2,98E+00;3,00E+01;3,84E+00;3,00E+01;4,82E+00;1,69E+01;2,97E+00;1,76E+01;2,93E+00;2,14E+01;3,03E+00;2,30E+01;3,00E+00;2,48E+01;3,00E+00;3,22E+01;3,13E+00;4,62E+01;3,26E+00;7,73E+01;3,83E+00
4,00E+01;1,65E+00;4,00E+01;2,29E+00;4,00E+01;3,06E+00;4,00E+01;3,94E+00;4,00E+01;4,94E+00;2,14E+01;3,85E+00;2,37E+01;3,85E+00;2,80E+01;3,96E+00;3,04E+01;3,94E+00;3,29E+01;3,94E+00;4,30E+01;4,08E+00;5,60E+01;4,21E+00;6,00E+02;2,77E+01
5,00E+01;1,80E+00;5,00E+01;2,40E+00;5,00E+01;3,15E+00;5,00E+01;4,04E+00;5,00E+01;5,04E+00;2,74E+01;4,99E+00;3,09E+01;5,06E+00;3,53E+01;5,07E+00;3,95E+01;5,12E+00;4,34E+01;5,13E+00;5,24E+01;5,19E+00;7,54E+01;5,57E+00;;
6,00E+01;2,03E+00;6,00E+01;2,59E+00;6,00E+01;3,29E+00;6,00E+01;4,15E+00;6,00E+01;5,16E+00;1,50E+02;2,84E+01;1,75E+02;2,91E+01;2,00E+02;2,85E+01;2,25E+02;2,88E+01;2,50E+02;2,88E+01;3,00E+02;2,86E+01;4,00E+02;2,85E+01;;
7,00E+01;2,35E+00;7,00E+01;2,85E+00;7,00E+01;3,52E+00;7,00E+01;4,33E+00;7,00E+01;5,30E+00;;;;;;;;;;;;;;;;
8,00E+01;2,79E+00;8,00E+01;3,22E+00;8,00E+01;3,82E+00;8,00E+01;4,60E+00;8,00E+01;5,51E+00;;;;;;;;;;;;;;;;
