;Torque vs rpm con vientos de 1m/s a 12m/s en pasos de 0.5m/s , Export File Created with QBlade v0.963 64bit on 11.01.2022 at 13:18:22;;;;;;;;;;
;;10;9;8;7;6;5;4;3;2;1
;R [Ohm];2;2,22;2,5;2,85;3,33;4;5;6,66;10;20
1;V [V];;;;;;;;;;
;I [A];;;;;;;;;;
1,5;V [V];;;;;;;;;;
;I [A];;;;;;;;;;
2;V [V];;;;;;;;;;
;I [A];;;;;;;;;;
2,5;V [V];;;;;;;;;;
;I [A];;;;;;;;;;
3;V [V];;;;;;;;;;
;I [A];;;;;;;;;;
3,5;V [V];;;;;;;;;;
;I [A];;;;;;;;;;
4;V [V];;;;;;;;;;
;I [A];;;;;;;;;;
4,5;V [V];;;;;;;;;;
;I [A];;;;;;;;;;
5;V [V];0,6139;;0,7626;;0,9984;1,2301;1,2845;1,8278;3,3312;5,928
;I [A];0,3289;;0,34;;0,3334;0,3515;0,29248;0,32392;0,3472;0,3352
5,5;V [V];;;;;;;;;;
;I [A];;;;;;;;;;
6;V [V];1,1697;;1,4033;;1,8933;2,2772;2,5379;3,5831;6,1936;10,5814
;I [A];0,6027;;0,5942;;0,6009;0,6094;0,54083;0,58641;0,6341;0,56744
6,5;V [V];;;;;;;;;;
;I [A];;;;;;;;;;
7;V [V];1,8723;;2,2464;;2,9716;3,4958;3,8769;5,8605;9,4603;17,367
;I [A];0,9329;;0,9178;;0,906;0,901;0,79744;0,92174;0,96051;0,90661
7,5;V [V];;;;;;;;;;
;I [A];;;;;;;;;;
8;V [V];2,5826;;3,1128;;4,2426;5,0036;5,5964;8,2037;11,741;
;I [A];1,2679;;1,2613;;1,2695;1,2709;1,13859;1,27634;1,18923;
8,5;V [V];;;;;;;;;;
;I [A];;;;;;;;;;
9;V [V];3,5158;;4,3449;;5,6922;6,7699;7,7472;10,2395;16,2167;
;I [A];1,7105;;1,7314;;1,6987;1,7069;1,57019;1,58058;1,63436;
9,5;V [V];;;;;;;;;;
;I [A];;;;;;;;;;
10;V [V];;;;;;;;;;
;I [A];;;;;;;;;;
10,5;V [V];;;;;;;;;;
;I [A];;;;;;;;;;
11;V [V];;;;;;;;;;
;I [A];;;;;;;;;;
11,5;V [V];;;;;;;;;;
;I [A];;;;;;;;;;
12;V [V];;;;;;;;;;
;I [A];;;;;;;;;;
