Export File Created with QBlade v0.91b 32-Bit on 10.05.2019 at 19:08:26;;;;;;;;;;;;;;;;;;;;;;;
         New Blade 22 Simulation         New Blade 22 Simulation         New Blade 22 Simulation         New Blade 22 Simulation         New Blade 22 Simulation         New Blade 22 Simulation         New Blade 22 Simulation         New Blade 22 Simulation         New Blade 22 Simulation         New Blade 22 Simulation         New Blade 22 Simulation         New Blade 22 Simulation;;;;;;;;;;;;;;;;;;;;;;;
Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm]
1.00E-02;1.06E-01;1.00E-02;4.22E-01;1.00E-02;9.49E-01;1.00E-02;1.69E+00;1.00E-02;2.64E+00;1.00E-02;3.80E+00;1.00E-02;5.17E+00;1.00E-02;6.75E+00;1.00E-02;8.54E+00;1.00E-02;1.05E+01;1.00E-02;1.28E+01;1.00E-02;1.52E+01
5.00E+01;2.70E-01;5.00E+01;1.36E+00;5.00E+01;1.59E+00;5.00E+01;2.24E+00;5.00E+01;3.25E+00;5.00E+01;4.54E+00;5.00E+01;6.08E+00;5.00E+01;7.85E+00;5.00E+01;9.85E+00;5.00E+01;1.21E+01;5.00E+01;1.45E+01;5.00E+01;1.71E+01
1.00E+02;-4.46E-03;1.00E+02;1.08E+00;1.00E+02;3.55E+00;1.00E+02;5.43E+00;1.00E+02;5.70E+00;1.00E+02;6.37E+00;1.00E+02;7.47E+00;1.00E+02;8.97E+00;1.00E+02;1.08E+01;1.00E+02;1.30E+01;1.00E+02;1.54E+01;1.00E+02;1.81E+01
1.50E+02;-3.40E-01;1.50E+02;4.92E-01;1.50E+02;2.43E+00;1.50E+02;5.79E+00;1.50E+02;9.93E+00;1.50E+02;1.22E+01;1.50E+02;1.31E+01;1.50E+02;1.32E+01;1.50E+02;1.43E+01;1.50E+02;1.59E+01;1.50E+02;1.78E+01;1.50E+02;2.02E+01
2.00E+02;-1.23E+00;2.00E+02;-1.77E-02;2.00E+02;1.49E+00;2.00E+02;4.33E+00;2.00E+02;8.55E+00;2.00E+02;1.42E+01;2.00E+02;1.88E+01;2.00E+02;2.17E+01;2.00E+02;2.32E+01;2.00E+02;2.28E+01;2.00E+02;2.39E+01;2.00E+02;2.55E+01
2.50E+02;-2.26E+00;2.50E+02;-5.65E-01;2.50E+02;7.20E-01;2.50E+02;3.04E+00;2.50E+02;6.76E+00;2.50E+02;1.19E+01;2.50E+02;1.84E+01;2.50E+02;2.57E+01;2.50E+02;3.04E+01;2.50E+02;3.39E+01;2.50E+02;3.60E+01;2.50E+02;3.62E+01
3.00E+02;-3.24E+00;3.00E+02;-1.36E+00;3.00E+02;-4.71E-02;3.00E+02;1.97E+00;3.00E+02;5.13E+00;3.00E+02;9.73E+00;3.00E+02;1.57E+01;3.00E+02;2.31E+01;3.00E+02;3.19E+01;3.00E+02;3.97E+01;3.00E+02;4.47E+01;3.00E+02;4.88E+01
3.50E+02;-4.66E+00;3.50E+02;-2.88E+00;3.50E+02;-8.49E-01;3.50E+02;9.45E-01;3.50E+02;3.73E+00;3.50E+02;7.78E+00;3.50E+02;1.32E+01;3.50E+02;2.00E+01;3.50E+02;2.84E+01;3.50E+02;3.82E+01;3.50E+02;4.86E+01;3.50E+02;5.62E+01
4.00E+02;-6.15E+00;4.00E+02;-5.00E+00;4.00E+02;-1.71E+00;4.00E+02;-8.37E-02;4.00E+02;2.44E+00;4.00E+02;5.96E+00;4.00E+02;1.10E+01;4.00E+02;1.73E+01;4.00E+02;2.50E+01;4.00E+02;3.42E+01;4.00E+02;4.49E+01;4.00E+02;5.68E+01
4.50E+02;-7.80E+00;4.50E+02;-6.54E+00;4.50E+02;-3.06E+00;4.50E+02;-1.15E+00;4.50E+02;1.15E+00;4.50E+02;4.43E+00;4.50E+02;8.84E+00;4.50E+02;1.48E+01;4.50E+02;2.19E+01;4.50E+02;3.04E+01;4.50E+02;4.06E+01;4.50E+02;5.21E+01
