Torque vs rpm con vientos de 1m/s a 12m/s en pasos de 1m/s;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm]
1.00E-02;5.38E-02;1.00E-02;2.15E-01;1.00E-02;4.84E-01;1.00E-02;8.60E-01;1.00E-02;1.34E+00;1.00E-02;1.94E+00;1.00E-02;2.63E+00;1.00E-02;3.44E+00;1.00E-02;4.36E+00;1.00E-02;5.38E+00;1.00E-02;6.51E+00;1.00E-02;7.74E+00
5.00E+01;2.49E-01;5.00E+01;8.86E-01;5.00E+01;1.06E+00;5.00E+01;1.34E+00;5.00E+01;1.80E+00;5.00E+01;2.40E+00;5.00E+01;3.15E+00;5.00E+01;4.04E+00;5.00E+01;5.04E+00;5.00E+01;6.16E+00;5.00E+01;7.39E+00;5.00E+01;8.73E+00
1.00E+02;7.37E-02;1.00E+02;9.97E-01;1.00E+02;2.64E+00;1.00E+02;3.55E+00;1.00E+02;3.90E+00;1.00E+02;4.25E+00;1.00E+02;4.72E+00;1.00E+02;5.37E+00;1.00E+02;6.20E+00;1.00E+02;7.18E+00;1.00E+02;8.31E+00;1.00E+02;9.59E+00
1.50E+02;-8.65E-02;1.50E+02;6.08E-01;1.50E+02;2.24E+00;1.50E+02;4.69E+00;1.50E+02;6.91E+00;1.50E+02;7.98E+00;1.50E+02;8.51E+00;1.50E+02;9.04E+00;1.50E+02;9.57E+00;1.50E+02;1.02E+01;1.50E+02;1.11E+01;1.50E+02;1.21E+01
1.90E+02;-2.27E-01;1.90E+02;3.57E-01;1.90E+02;1.78E+00;1.90E+02;4.16E+00;1.90E+02;7.32E+00;1.90E+02;1.04E+01;1.90E+02;1.21E+01;1.90E+02;1.31E+01;1.90E+02;1.37E+01;1.90E+02;1.44E+01;1.90E+02;1.51E+01;1.90E+02;1.58E+01
2.30E+02;-3.91E-01;2.30E+02;1.01E-01;2.30E+02;1.33E+00;2.30E+02;3.55E+00;2.30E+02;6.66E+00;2.30E+02;1.05E+01;2.30E+02;1.43E+01;2.30E+02;1.69E+01;2.30E+02;1.85E+01;2.30E+02;1.95E+01;2.30E+02;2.02E+01;2.30E+02;2.10E+01
2.70E+02;-6.19E-01;2.70E+02;-1.52E-01;2.70E+02;9.54E-01;2.70E+02;2.89E+00;2.70E+02;5.86E+00;2.70E+02;9.70E+00;2.70E+02;1.43E+01;2.70E+02;1.89E+01;2.70E+02;2.24E+01;2.70E+02;2.46E+01;2.70E+02;2.61E+01;2.70E+02;2.70E+01
3.10E+02;-8.72E-01;3.10E+02;-4.11E-01;3.10E+02;5.61E-01;3.10E+02;2.31E+00;3.10E+02;5.08E+00;3.10E+02;8.78E+00;3.10E+02;1.33E+01;3.10E+02;1.86E+01;3.10E+02;2.39E+01;3.10E+02;2.84E+01;3.10E+02;3.13E+01;3.10E+02;3.35E+01
3.50E+02;-1.14E+00;3.50E+02;-6.88E-01;3.50E+02;1.85E-01;3.50E+02;1.83E+00;3.50E+02;4.26E+00;3.50E+02;7.87E+00;3.50E+02;1.22E+01;3.50E+02;1.75E+01;3.50E+02;2.35E+01;3.50E+02;2.96E+01;3.50E+02;3.49E+01;3.50E+02;3.87E+01
3.90E+02;-1.46E+00;3.90E+02;-9.83E-01;3.90E+02;-1.97E-01;3.90E+02;1.29E+00;3.90E+02;3.57E+00;3.90E+02;6.88E+00;3.90E+02;1.12E+01;3.90E+02;1.63E+01;3.90E+02;2.23E+01;3.90E+02;2.90E+01;3.90E+02;3.58E+01;3.90E+02;4.20E+01
4.40E+02;-5.63E+00;4.40E+02;-1.41E+00;4.40E+02;-6.80E-01;4.40E+02;6.57E-01;4.40E+02;2.81E+00;4.40E+02;5.68E+00;4.40E+02;9.78E+00;4.40E+02;1.48E+01;4.40E+02;2.06E+01;4.40E+02;2.73E+01;4.40E+02;3.48E+01;4.40E+02;4.24E+01
4.90E+02;-2.35E+00;4.90E+02;-1.83E+00;4.90E+02;-1.18E+00;4.90E+02;2.49E-02;4.90E+02;1.98E+00;4.90E+02;4.76E+00;4.90E+02;8.34E+00;4.90E+02;1.33E+01;4.90E+02;1.88E+01;4.90E+02;2.54E+01;4.90E+02;3.28E+01;4.90E+02;4.10E+01
5.40E+02;-2.86E+00;5.40E+02;-2.53E+00;5.40E+02;-1.71E+00;5.40E+02;-6.08E-01;5.40E+02;1.19E+00;5.40E+02;3.82E+00;5.40E+02;7.13E+00;5.40E+02;1.15E+01;5.40E+02;1.75E+01;5.40E+02;2.35E+01;5.40E+02;3.06E+01;5.40E+02;3.88E+01
5.90E+02;-3.42E+00;5.90E+02;-3.08E+00;5.90E+02;-2.26E+00;5.90E+02;-1.25E+00;5.90E+02;3.98E-01;5.90E+02;2.81E+00;5.90E+02;6.10E+00;5.90E+02;1.00E+01;5.90E+02;1.53E+01;5.90E+02;2.18E+01;5.90E+02;2.86E+01;5.90E+02;3.64E+01
