,Omega [rpm],T [Nm],T [Nm].1,T [Nm].2,T [Nm].3,T [Nm].4,T [Nm].5,T [Nm].6,T [Nm].7,T [Nm].8,T [Nm].9,T [Nm].10,T [Nm].11
0,0.002,0.04224577934825284,0.16882606988614055,0.38005496662740473,0.6753042795445622,1.0522182960345503,1.5233608166470354,2.0651747153513935,2.7012171181782487,3.42363564978406,4.224577934825284,5.111896348645465,6.07773851590106
1,10.0,0.19552414605418136,0.69572045543777,0.8323517864153906,1.0522182960345503,1.4134275618374557,1.884570082449941,2.473498233215547,3.172359638790734,3.957597173144876,4.837063211621515,5.802905378877109,6.855123674911661
2,20.0,0.05787200628190027,0.7828818217510797,2.0730270906949353,2.787593246957204,3.0624263839811534,3.3372595210051035,3.70632116215155,4.216725559481743,4.86847271299568,5.63800549666274,6.52532391048292,7.530427954456222
3,30.0,0.0,0.47742442088731835,1.7589320769532784,3.6827640361209264,5.425991362387121,6.266195524146053,6.682371417353748,7.098547310561442,7.514723203769139,8.009422850412248,8.716136631330977,9.50137416568512
4,38.0,0.0,0.2803297997644287,1.3977228111503728,3.2665881429132315,5.74793875147232,8.166470357283078,9.50137416568512,10.286611700039261,10.757754220651746,11.307420494699645,11.857086768747545,12.406753042795444
5,46.0,0.0,0.07930899096976834,1.044365920691009,2.787593246957204,5.2296819787985855,8.244994110718492,11.228896741264233,13.270514330585,14.526894385551628,15.31213191990577,15.861798193953668,16.489988221436985
6,54.0,0.0,0.0,0.7491166077738514,2.2693364742834707,4.601491951315273,7.616804083235178,11.228896741264233,14.840989399293283,17.589320769532783,19.31684334511189,20.494699646643106,21.201413427561835
7,62.0,0.0,0.0,0.4405182567726737,1.813898704358068,3.989006674519042,6.894385551629367,10.443659206910091,14.605418138987043,18.767177071063994,22.30074597565763,24.577934825284647,26.305457400863755
8,70.0,0.0,0.0,0.14526894385551628,1.43698468786808,3.3451118963486453,6.1798193953670975,9.579897919120532,13.741656851197485,18.453082057322337,23.243031016882608,27.404789948959557,30.3886925795053
9,78.0,0.0,0.0,0.0,1.0129564193168432,2.8032979976442873,5.402434236356497,8.794660384766392,12.799371809972516,17.51079701609737,22.77188849627012,28.111503729878283,32.97997644287397
10,88.0,0.0,0.0,0.0,0.5159010600706713,2.206517471535139,4.460149195131526,7.6796230859835095,11.621515508441304,16.175893207695328,21.43698468786808,27.326266195524138,33.29407145661562
11,98.0,0.0,0.0,0.0,0.019552414605418133,1.554770318021201,3.737730663525716,6.548881036513545,10.443659206910091,14.762465645857871,19.945033372595205,25.755791126815858,32.194738908519824
12,100.0,0.0,0.0,0.0,0.0,0.934432665881429,2.9996073812328223,5.598743619945033,9.030231645072634,13.741656851197485,18.453082057322337,24.028268551236746,30.467216332940712
13,100.0,0.0,0.0,0.0,0.0,0.31252453867294855,2.206517471535139,4.789948959560266,7.8523753435414205,12.014134275618373,17.118178248920298,22.457793482528466,28.582646250490768
